Si DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q4
P  SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q5
P  DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q5
S  SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q6
S  DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q6
Cl SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q7
Cl DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q7
Ar SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q8
Ar DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q8
K  SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q9
K  DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q9
Ca SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q10
Ca DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q10
Sc SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q11
Sc DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q11
Ti SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q12
Ti DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q12
V  SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q13
V  DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q13
Cr SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q14
Cr DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q14
Mn SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q15
Mn DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q15
Fe SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q16
Fe DZVP-MOLOPT-SR-GTH DZVP-MOLOPT-SR-GTH-q16
Co SZV-MOLOPT-SR-GTH SZV-MOLOPT-SR-GTH-q17
